"lot_kind","article_kind","article_id","order","rarity","visible","image_url","description","num"
1,0,24,512,5,0,,"24 妖魔的指南針",1
1,0,49,511,5,0,,"49 Ex安妮莫娜通行證3 *4",4
1,0,56,510,5,0,,"56 赤之寶石袋",2
1,0,8,509,5,0,,"8 跳越星 *7",7
1,0,12,508,5,0,,"12 超時空沙漏 *5",5
1,0,10,507,5,0,,"10 複製券 *3",3
1,1,266,506,5,0,,"266 青蛙王子的劍（紅）",1
1,1,161,505,5,0,,"161 丘王之冠",1
1,1,771,504,5,0,,"771 艾茵的髮型",1
1,1,770,503,5,0,,"770 娜汀的髮型",1
1,1,806,502,5,0,,"806 雪莉的髮型",1
1,1,640,501,5,0,,"640 C.C.的髮型",1
1,1,641,500,5,0,,"641 泰瑞爾的髮型",1
1,4,456,418,4,0,,"456 泰瑞爾 R1",1
1,4,596,417,4,0,,"596 克洛維斯 R1",1
1,4,536,416,4,0,,"536 迪諾 R1",1
1,4,526,415,4,0,,"526 娜汀 R1",1
1,4,506,414,4,0,,"506 尤莉卡 R1",1
1,4,496,413,4,0,,"496 古斯塔夫 R1",1
1,4,396,412,4,0,,"396 凱倫貝克 R1",1
1,4,486,411,4,0,,"486 梅莉 R1",1
1,4,476,410,4,0,,"476 威廉 R1",1
1,4,2271,409,4,0,,"2271 帕茉 RE",1
1,4,2261,408,4,0,,"2261 佛羅倫斯 RE",1
1,4,2251,407,4,0,,"2251 沃肯 RE",1
1,4,2231,406,4,0,,"2221 里斯 RE",1
1,4,2211,405,4,0,,"2211 薩爾卡多 RE",1
1,4,2191,404,4,0,,"2191 艾妲 RE",1
1,4,2181,403,4,0,,"2181 羅索 RE",1
1,4,2171,402,4,0,,"2171 貝琳達 RE",1
1,4,2161,401,4,0,,"2161 史普拉多 RE",1
1,4,2151,400,4,0,,"2151 多妮妲 RE",1
1,4,2141,308,3,0,,"2141 瑪格莉特 RE",1
1,4,2131,307,3,0,,"2131 弗雷特里西 RE",1
1,4,2111,306,3,0,,"2111 艾茵 RE",1
1,4,2091,305,3,0,,"2091 布列依斯 RE",1
1,4,2081,304,3,0,,"2081 馬庫西馬斯 RE",1
1,4,2041,303,3,0,,"2041 利恩 RE",1
1,4,2031,302,3,0,,"2031 阿貝爾 RE",1
1,4,2021,301,3,0,,"2021 古魯瓦爾多 RE",1
1,4,2001,300,3,0,,"2001 艾伯李斯特 RE",1
1,4,2121,204,2,0,,"2121 伯恩哈德 RE",1
1,4,2101,203,2,0,,"2101 雪莉 RE",1
1,4,2071,202,2,0,,"2071 阿奇波爾多 RE",1
1,4,2061,201,2,0,,"2061 傑多 RE",1
1,4,2011,200,2,0,,"2011 艾依查庫 RE",1
1,2,34,102,1,0,,"34 機會卡3",1
1,2,44,101,1,0,,"44 詛咒術3",1
1,0,9,100,1,0,,"9 抽獎券 *34",34
2,4,10011,507,5,0,,"10011 冥府之印章 *10",10
2,0,369,506,5,0,,"369 β型渦探知機 IV *2",2
2,3,5026,505,5,0,,"5026 銀之妖精的浮雕 *3",3
2,0,68,504,5,0,,"68 Ex安妮莫娜通行證3 *4",4
2,0,57,503,5,0,,"57 紫之寶石袋",2
2,0,8,502,5,0,,"8 跳越星 *10",10
2,0,12,501,5,0,,"12 超時空沙漏 *7",7
2,0,10,500,5,0,,"10 複製券 *5",5
2,2,47,414,4,0,,"47 劍3·槍1卡 *4",4
2,2,72,413,4,0,,"72 槍3·移動1卡 *4",4
2,2,81,412,4,0,,"81 移動1·特殊1卡 *4",4
2,2,56,411,4,0,,"56 特殊1·盾1卡 *4",4
2,2,53,410,4,0,,"53 盾3·移動1卡 *4",4
2,2,78,409,4,0,,"78 槍3·特殊1卡 *4",4
2,2,69,408,4,0,,"69 劍3·特殊1卡 *4",4
2,2,70,407,4,0,,"70 劍4·特殊2卡",2
2,2,58,406,4,0,,"58 特殊3·盾3卡",2
2,2,71,405,4,0,,"71 劍5·特殊3卡",2
2,2,80,404,4,0,,"80 槍5·特殊3卡",2
2,2,83,403,4,0,,"83 移動3·特殊3卡",2
2,3,192,402,4,0,,"192 溟海的卡片",1
2,3,208,401,4,0,,"208 咒印的卡片",1
2,3,267,400,4,0,,"267 荊棘卡",1
2,3,75,312,3,0,,"75 獸人的焰爪",1
2,3,72,311,3,0,,"72 血腥瑪麗",1
2,3,69,310,3,0,,"69 深淵石",1
2,3,66,309,3,0,,"66 雷賽普斯",1
2,3,63,308,3,0,,"63 闇夜使徒",1
2,3,54,307,3,0,,"54 審判之鎖",1
2,3,51,306,3,0,,"51 般若之面",1
2,3,248,305,3,0,,"248 紀律",1
2,3,251,304,3,0,,"251 靈魂核心",1
2,3,254,303,3,0,,"254 蒂布龍",1
2,3,258,302,3,0,,"258 暈擊警棍",1
2,3,262,301,3,0,,"262 惡魔之血",1
2,3,265,300,3,0,,"265 禿鷹",1
2,4,89,202,2,0,,"89 馬庫斯 R4",1
2,4,99,201,2,0,,"99 布列依斯 R4",1
2,4,109,200,2,0,,"109 雪莉 R4",1
2,2,31,102,1,0,,"31 特殊5卡",1
2,2,39,101,1,0,,"39 回復3卡",1
2,0,9,100,1,0,,"9 抽獎券 *58",58
